CRUISE,CTD_INDEX,CTD_DEPTH,Temperature,Salinity,Density,Chlorophyll,Oxygen,station
2103,211,78,9.597399712,33.89210129,26.15550041,0.060122509,3.253999949,MON
2103,211,80,9.571000099,33.89659882,26.16340065,0.008398615,3.226000071,MON
2103,211,82,9.555399895,33.8987999,26.16769981,0.030901071,3.165999889,MON
2103,211,84,9.503399849,33.90330124,26.17970085,0.003807291,3.0599999429999998,MON
2103,211,86,9.441100121,33.89810181,26.18589973,0,2.982000113,MON
2103,211,88,9.394200325,33.89049911,26.18759918,0,2.936000109,MON
2103,211,90,9.375200272,33.8871994,26.1882,0,2.917999983,MON
2103,211,92,9.335300446,33.88470078,26.19269943,0,2.867000103,MON
2103,211,94,9.25249958,33.8905983,26.21069908,0,2.798000097,MON
2103,211,96,9.231399536,33.89459991,26.21730042,0,2.78399992,MON
2103,211,98,9.223799706,33.89680099,26.22019958,0,2.778000116,MON
2103,211,100,9.213700294,33.89989853,26.22439957,0,2.752000093,MON
2103,211,102,9.207500458,33.90179825,26.2269001,0,2.747999907,MON
2103,211,104,9.203700066,33.90309906,26.22850037,0,2.742000103,MON
2103,211,106,9.19960022,33.90439987,26.23019981,0,2.710000038,MON
2103,211,108,9.122400284,33.92490005,26.25860023,0,2.635999918,MON
2103,211,110,9.052000046,33.94400024,26.28479958,0,2.619999886,MON
2103,211,112,9.040200233,33.94649887,26.2887001,0,2.611999989,MON
2103,211,114,9.010000229,33.95460129,26.29990005,0,2.588000059,MON
2103,110,6,12.02210045,33.5890007,25.48929977,0.443437606,5.960999966,MON
2103,110,8,12.02210045,33.58890152,25.48920059,0.417367488,5.949999809,MON
2103,110,10,12.02250004,33.58909988,25.48929977,0.420275897,5.956999779,MON
2103,110,12,12.02099991,33.58969879,25.49010086,0.441173196,5.953000069,MON
2103,110,14,12.01879978,33.59009933,25.49099922,0.531011879,5.962999821,MON
2103,110,16,12.01850033,33.58959961,25.49069977,0.605416417,5.954999924,MON
2103,110,18,12.01830006,33.58969879,25.49080086,0.638477325,5.954999924,MON
2103,110,20,12.01819992,33.58940125,25.49069977,0.846789479,5.948999882,MON
2103,110,22,12.01720047,33.590400699999996,25.49160004,0.756910205,5.953999996,MON
2103,110,24,12.01720047,33.59049988,25.49180031,0.837114394,5.938000202,MON
2103,110,26,12.01900005,33.59019852,25.49130058,0.714995384,5.955999851,MON
2103,110,28,12.01920033,33.59180069,25.49250031,0.713710487,5.93900013,MON
2103,110,30,12.00599957,33.59180069,25.49510002,0.735312283,5.940999985,MON
2103,110,32,12.00150013,33.59149933,25.49570084,0.681111693,5.921000004,MON
2103,110,34,11.97189999,33.58969879,25.5,0.690900981,5.847000122,MON
2103,110,36,11.75039959,33.58769989,25.53980064,0.73328042,5.68200016,MON
2103,110,38,11.36499977,33.61330032,25.63069916,0.554445982,5.587999821,MON
2103,110,40,11.1789999,33.63349915,25.68020058,0.372181594,5.521999836,MON
2103,110,42,11.07229996,33.6413002,25.70549965,0.229250103,5.440000057,MON
2103,110,44,10.93229961,33.65390015,25.74029922,0.223450407,5.40199995,MON
